p1,p2,p3,p4
3,2,1,0
4,5,6,7
0,1,5,4
0,4,7,3
11,10,9,8
12,13,14,15
8,9,13,12
1,8,12,5
2,6,15,11
16,19,18,17
20,21,22,23
16,17,21,20
17,18,22,21
9,16,20,13
10,14,23,19
24,27,26,25
28,29,30,31
24,28,31,27
3,7,28,24
2,25,29,6
32,35,34,33
36,37,38,39
25,32,36,29
26,30,39,35
10,33,37,14
11,15,36,32
40,43,42,41
44,45,46,47
41,42,46,45
18,41,45,22
19,23,44,40
33,40,44,37
34,38,47,43
48,51,50,49
52,53,54,55
50,51,55,54
48,52,55,51
27,31,52,48
26,49,53,30
56,59,58,57
60,61,62,63
58,59,63,62
49,56,60,53
50,54,63,59
34,57,61,38
35,39,60,56
64,67,66,65
68,69,70,71
65,66,70,69
66,67,71,70
57,64,68,61
58,62,71,67
42,65,69,46
43,47,68,64
5,12,15,6
1,2,11,8
13,20,23,14
9,10,19,16
6,29,28,7
2,3,24,25
15,14,37,36
10,11,32,33
22,45,44,23
18,19,40,41
25,26,35,32
29,36,39,30
37,44,47,38
33,34,43,40
30,53,52,31
26,27,48,49
38,61,60,39
34,35,56,57
46,69,68,47
42,43,64,65
53,60,63,54
49,50,59,56
61,68,71,62
57,58,67,64
